shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4__5____1__IT_1,40.408273151555,-3.7108194515913,19000293,1125.27137796855
4__5____1__IT_1,40.4082652748932,-3.71082561384319,19000294,1125.72692851608
4__5____1__IT_1,40.408257398562,-3.71083201534223,19000295,1126.18350835756
4__5____1__IT_1,40.4082496130614,-3.71083829640508,19000296,1126.64110354136
4__5____1__IT_1,40.4082417347733,-3.71084457649025,19000297,1127.09972280526
4__5____1__IT_1,40.4082338584482,-3.71085097680639,19000298,1127.55937130967
4__5____1__IT_1,40.408225981053,-3.71085725807659,19000299,1128.02004386193
4__5____1__IT_1,40.408218195551,-3.71086353913364,19000300,1128.48173175651
4__5____1__IT_1,40.4082103206741,-3.71086970375134,19000301,1128.94443834242
4__5____1__IT_1,40.4081945676756,-3.710882267479,19000302,1129.40919290684
4__5____1__IT_1,40.4081866886605,-3.71088866540096,19000303,1129.87497685849
4__5____1__IT_1,40.4081789031569,-3.71089494645079,19000304,1130.34177615245
4__5____1__IT_1,40.4081710264693,-3.7109011122208,19000305,1130.80959436056
4__5____1__IT_1,40.4081395222877,-3.71092623612476,19000306,1131.28150819757
4__5____1__IT_1,40.4081317340577,-3.71093252067289,19000307,1131.7544377905
4__5____1__IT_1,40.4081239492763,-3.71093868386576,19000308,1132.22837744382
4__5____1__IT_1,40.4080634790665,-3.71098580215079,19000309,1132.7101299778
4__5____1__IT_1,40.4080442913867,-3.71100019177812,19000310,1133.19433756607
4__5____1__IT_1,40.4079954347576,-3.71103397322152,19000311,1133.68467932911
4__5____1__IT_1,40.4079539204701,-3.71106028804491,19000312,1134.18014178194
4__5____1__IT_1,40.4079119660542,-3.71108506963623,19000313,1134.68071403478
4__5____1__IT_1,40.4078608065058,-3.71111258162996,19000314,1135.18742626677
4__5____1__IT_1,40.4078089391584,-3.71113784455084,19000315,1135.70028205327
4__5____1__IT_1,40.4077741615936,-3.71115291735635,19000316,1136.21720460753
4__5____1__IT_1,40.4077578236366,-3.71115804998897,19000317,1136.73599228645
4__5____1__IT_1,40.4077219983813,-3.71116769282829,19000318,1137.25883998261
4__5____1__IT_1,40.407695204637,-3.71117353801508,19000319,1137.78470293831
4__5____1__IT_1,40.4076680590404,-3.71117843902136,19000320,1138.31360770005
4__5____1__IT_1,40.4076409194393,-3.71118192584331,19000321,1138.84553953399
4__5____1__IT_1,40.4076136964676,-3.71118446659925,19000322,1139.38050088141
4__5____1__IT_1,40.4075863890267,-3.71118594696083,19000323,1139.91849603931
4__5____1__IT_1,40.4075590911848,-3.71118601318048,19000324,1140.45952134573
4__5____1__IT_1,40.4075236034172,-3.71118458130792,19000325,1141.00448777534
4__5____1__IT_1,40.4074782414979,-3.71117762071131,19000326,1141.55452403749
4__5____1__IT_1,40.4074242504663,-3.71116703723348,19000327,1142.11062037886
4__5____1__IT_1,40.4073616415612,-3.71115188228791,19000328,1142.6737844715
4__5____1__IT_1,40.40731730427,-3.71113916007267,19000329,1143.2419871431
4__5____1__IT_1,40.4072642563017,-3.71112186778014,19000330,1143.81625836445
4__5____1__IT_1,40.4072206608785,-3.7111058535306,19000331,1144.39555597974
4__5____1__IT_1,40.4071599136281,-3.71108081982668,19000332,1144.98192339602
4__5____1__IT_1,40.4070999042807,-3.71105284525987,19000333,1145.57536234678
4__5____1__IT_1,40.4070662868663,-3.71103528616443,19000334,1146.17281939415
4__5____1__IT_1,40.4070662868663,-3.71103528616443,20000001,1146.17281939415
4__5____1__IT_1,40.4070407246916,-3.7110219355178,20000002,1146.1758746621
4__5____1__IT_1,40.4069990679511,-3.71099816470135,20000003,1146.18397474283
4__5____1__IT_1,40.4069497936969,-3.71096771166389,20000004,1146.19812411246
4__5____1__IT_1,40.4068847489203,-3.71092365874479,20000005,1146.22040392881
